date,temp,hum,bright
2/13/2024 8:12:27 PM,21.2,72,3
2/13/2024 8:13:26 PM,21.2,72,3
2/13/2024 8:14:26 PM,21.2,72,3
2/13/2024 8:15:26 PM,21.2,72,3
2/13/2024 8:16:26 PM,21.2,72,3
2/13/2024 8:17:26 PM,21.2,72,3
2/13/2024 8:18:26 PM,21.2,72,3
2/13/2024 8:19:26 PM,21.2,72,3
2/13/2024 8:20:26 PM,21.2,72,3
2/13/2024 8:21:26 PM,21.2,72,3
2/13/2024 8:22:27 PM,21.2,72,3
2/13/2024 8:23:27 PM,21.2,72,3
2/13/2024 8:24:26 PM,21.2,71,3
2/13/2024 8:25:26 PM,21.2,71,3
2/13/2024 8:26:26 PM,21.2,71,3
2/13/2024 8:27:26 PM,21.2,71,3
2/13/2024 8:28:26 PM,21.2,71,3
2/13/2024 8:29:27 PM,21.2,71,3
2/13/2024 8:30:27 PM,21.2,71,3
2/13/2024 8:31:26 PM,21.2,71,3
2/13/2024 8:32:26 PM,21.2,71,3
2/13/2024 8:33:26 PM,21.2,71,3
2/13/2024 8:34:26 PM,21.2,71,3
2/13/2024 8:35:26 PM,21.2,71,3
2/13/2024 8:36:26 PM,21.2,71,3
2/13/2024 8:37:26 PM,21.2,71,3
2/13/2024 8:38:27 PM,21.2,71,3
2/13/2024 8:39:27 PM,21.2,71,3
2/13/2024 8:40:26 PM,21.2,71,3
2/13/2024 8:41:26 PM,21.2,71,3
2/13/2024 8:42:26 PM,21.2,71,3
2/13/2024 8:43:26 PM,21.2,70,3
2/13/2024 8:44:27 PM,21.2,70,3
2/13/2024 8:45:27 PM,21.2,71,3
2/13/2024 8:46:26 PM,21.2,71,3
2/13/2024 8:47:27 PM,21.3,71,3
2/13/2024 8:48:26 PM,21.3,71,3
2/13/2024 8:49:26 PM,21.3,71,3
2/13/2024 8:50:26 PM,21.3,71,3
2/13/2024 8:51:26 PM,21.3,71,3
2/13/2024 8:52:26 PM,21.3,71,3
2/13/2024 8:53:26 PM,21.3,71,3
2/13/2024 8:54:26 PM,21.3,71,3
2/13/2024 8:55:26 PM,21.3,71,3
2/13/2024 8:56:27 PM,21.3,71,3
2/13/2024 8:57:26 PM,21.3,71,3
2/13/2024 8:58:26 PM,21.3,71,3
2/13/2024 8:59:27 PM,21.3,71,3
2/13/2024 9:00:26 PM,21.3,71,3
2/13/2024 9:01:27 PM,21.3,71,3
2/13/2024 9:02:26 PM,21.3,71,3
2/13/2024 9:03:26 PM,21.3,71,3
2/13/2024 9:04:26 PM,21.3,71,3
2/13/2024 9:05:26 PM,21.3,71,3
2/13/2024 9:06:26 PM,21.3,70,3
2/13/2024 9:07:26 PM,21.3,70,3
2/13/2024 9:08:26 PM,21.3,70,3
2/13/2024 9:09:26 PM,21.3,70,3
2/13/2024 9:10:27 PM,21.3,71,3
2/13/2024 9:11:26 PM,21.3,70,3
2/13/2024 9:12:26 PM,21.3,70,3
2/13/2024 9:13:26 PM,21.3,70,3
